user id,count
460030195131994,0
460030195132617,1
460030195132715,5
460030195132979,0
460030195132991,4
460030195133514,22
460030195134034,0
460030195134591,14
460030195135073,8
460030195135760,8
460030195136142,1
460030195136506,0
460030195137911,13
460030195139209,21
460030195139671,35
460030195140143,0
460030195140270,2
460030195140301,14
460030195140469,0
460030195140516,0
460030195140521,3
460030195140620,0
460030195141401,1
460030195141572,6
460030195142370,8
460030195143969,0
460030195145116,3
460030195145253,2
460030195145309,0
460030195145422,6
460030195145551,4
460030195145613,13
460030195147104,5
460030195149926,1
460030195150773,24
460030195152117,1
460030195152157,0
460030195152950,1
460030195154102,39
460030195157909,0
460030195159431,2
460030195159534,0
460030195159726,10
460030195160009,22
460030195161029,6
460030195161737,16
460030195163654,0
460030195164194,3
460030195164216,4
460030195164515,7
460030195165557,9
460030195166716,1
460030195170164,0
460030195173115,4
460030195173239,0
460030195173537,5
460030195173600,3
460030195173610,0
460030195174417,19
460030195174507,1
460030195174911,13
460030195175160,10
460030195175344,5
460030195177031,2
460030195177266,9
460030195190339,11
460030195191001,2
460030195191714,1
460030195192357,0
460030195192712,5
460030195192745,2
460030195193339,3
460030195194016,1
460030195194111,2
460030195194553,1
460030195194612,11
460030195195799,1
460030195196349,9
460030195196697,2
460030195197036,0
460030195199172,5
460030195199431,4
460030195446011,12
460030196100364,0
460030196100413,0
460030196100546,6
460030196101024,4
460030196101370,0
460030196101532,2
460030196102679,1
460030196103099,1
460030196103216,10
460030196103401,12
460030196103475,7
460030196104171,6
460030196104264,0
460030196105166,2
460030196105433,7
460030196105497,14
460030196106060,5
460030196106294,11
460030196107609,13
460030196107647,35
460030196109905,4
460030196121200,4
460030196121739,1
460030196122740,0
460030196123321,2
460030196124345,3
460030196125941,0
460030196126263,0
460030196127005,4
460030196127100,2
460030196129119,1
460030196129154,2
460030196131300,2
460030196131457,5
460030196131511,11
460030196132376,9
460030196132616,2
460030196134015,32
460030196134092,9
460030196134654,2
460030196135460,2
460030196135795,20
460030196137015,3
460030196139671,3
460030196139945,11
460030196140347,4
460030196143013,6
460030196143266,24
460030196143336,3
460030196144021,3
460030196144166,25
460030196144202,2
460030196144777,25
460030196145551,17
460030196145771,0
460030196147011,5
460030196150723,3
460030196150751,27
460030196151201,5
460030196151551,4
460030196151763,17
460030196152067,4
460030196152231,5
460030196152641,0
460030196153112,14
460030196153799,1
460030196153969,6
460030196154233,0
460030196155110,7
460030196155216,6
460030196155370,0
460030196156310,1
460030196157125,2
460030196157179,2
460030196159091,9
460030196159592,4
460030196170065,6
460030196170423,0
460030196170549,5
460030196170796,1
460030196170961,5
460030196171109,19
460030196171370,2
460030196171720,0
460030196172050,2
460030196172143,34
460030196172651,10
460030196172654,0
460030196173004,4
460030196173909,7
460030196174170,0
460030196174962,1
460030196175010,4
460030196175444,1
460030196175610,7
460030196176192,2
460030196176212,12
460030196177795,13
460030196179104,40
460030196179172,6
460030196179799,15
460030196192757,0
460030196196341,0
460030196201906,0
460030196202273,18
460030196202544,4
460030196204969,0
460030196207729,0
460030196210147,3
460030196210171,3
460030196210199,20
460030196210400,4
460030196210494,0
460030196210590,0
460030196211121,18
460030196211290,5
460030196211319,1
460030196211726,5
460030196211919,6
460030196211960,0
460030196212149,6
460030196212159,3
460030196212210,2
460030196212213,4
460030196212314,0
460030196212944,5
460030196213299,4
460030196213694,1
460030196213909,47
460030196213917,0
460030196214651,7
460030196214904,2
460030196214909,27
460030196214954,4
460030196214995,4
460030196215136,2
460030196215314,2
460030196215636,5
460030196215744,3
460030196216499,0
460030196216920,75
460030196217431,0
460030196217745,4
460030196219014,3
460030196219115,34
460030196221012,1
460030196221365,2
460030196221550,10
460030196222362,0
460030196223112,0
460030196224900,0
460030196226172,0
460030196226334,3
460030196226763,1
460030196227574,1
460030196230136,3
460030196231210,0
460030196233492,4
460030196233776,1
460030196235260,0
460030196235412,1
460030196235419,2
460030196237357,1
460030196237442,0
460030196237574,0
460030196237742,14
460030196250173,4
460030196251014,10
460030196251301,5
460030196251535,9
460030196251594,6
460030196251943,0
460030196252701,2
460030196253451,17
460030196253471,0
460030196254144,0
460030196254265,0
460030196254322,2
460030196254343,4
460030196255274,3
460030196255942,7
460030196256211,19
460030196256229,3
460030196257972,0
460030196259211,6
460030196261116,15
460030196261715,0
460030196262105,4
460030196262133,0
460030196262612,7
460030196262620,12
460030196262651,15
460030196264249,0
460030196264454,2
460030196264732,0
460030196267156,1
460030196267217,7
460030196267436,11
460030196269505,6
460030196269553,14
460030196272113,14
460030196272301,5
460030196277307,1
460030196290000,7
460030196290020,17
460030196290759,0
460030196290977,0
460030196291263,10
460030196292663,1
460030196294112,0
460030196294167,5
460030196294719,2
460030196295057,2
460030196295340,5
460030196295949,2
460030196296326,0
460030196299192,4
460030196299614,2
460030196299624,1
460030196299712,0
460030196601521,1
460030196602519,0
460030196604613,1
460030196609353,2
460030196611079,5
460030196611123,1
460030196611951,22
460030196612625,4
460030196614617,3
460030196614649,2
460030196616111,34
460030196616177,1
460030196616415,7
460030196616951,0
460030196619333,19
460030196619916,2
460030196621065,5
460030196622016,8
460030196622154,4
460030196622345,15
460030196622495,3
460030196623076,11
460030196623996,0
460030196625705,4
460030196625762,6
460030196625947,3
460030196626161,10
460030196626521,1
460030196626612,0
460030196629101,15
460030196629215,14
460030196629547,0
460030196629630,2
460030196631374,1
460030196632675,0
460030196634031,2
460030196635143,2
460030196635555,0
460030196635940,0
460030196640435,1
460030196641114,2
460030196641421,1
460030196643613,1
460030196644013,2
460030196644201,1
460030196644341,5
460030196651715,0
460030196655105,1
460030196656157,1
460030196660172,3
460030196661277,1
460030196661794,4
460030196661944,0
460030196663039,3
460030196663133,11
460030196663702,0
460030196664175,8
460030196664327,13
460030196664596,0
460030196664799,6
460030196665112,22
460030196665531,4
460030196665533,7
460030196665631,8
460030196667519,6
460030196667601,0
460030196670267,0
460030196674679,19
460030196675077,5
460030196675134,0
460030196675190,1
460030196675451,8
460030196679671,0
460030196690199,1
460030196690470,2
460030196690476,0
460030196691131,6
460030196691274,2
460030196691564,8
460030196691611,21
460030196692226,14
460030196692272,9
460030196692744,4
460030196692749,3
460030196693525,0
460030196694121,5
460030196694160,1
460030196695099,0
460030196695461,7
460030196696197,4
460030196696714,1
460030196697350,0
460030196699402,1
460030196699655,8
460030196902406,0
460030196902525,8
460030196902606,0
460030196902737,0
460030196903494,12
460030196904167,3
460030196904670,0
460030196906014,2
460030196906016,1
460030196906309,2
460030196906766,1
460030196907212,1
460030196909201,1
460030196909324,1
460030196909993,3
460030196910447,20
460030196912003,0
460030196912995,2
460030196913911,9
460030196914379,1
460030196916161,11
460030196917929,11
460030196919021,5
460030196919975,9
460030196920256,1
460030196921226,3
460030196923430,0
460030196923713,3
460030196924103,4
460030196924610,2
460030196926112,3
460030196926550,2
460030196927269,16
460030196942703,2
460030196942911,14
460030196943117,1
460030196943532,1
460030196943591,0
460030196944374,0
460030196944576,0
460030196944740,1
460030196949213,4
460030196949933,1
460030196950303,0
460030196950339,2
460030196950394,2
460030196950440,0
460030196955111,2
460030196955361,3
460030196955451,0
460030196957064,1
460030196959260,0
460030196960169,4
460030196960661,1
460030196966073,0
460030196967139,6
460030196971141,17
460030196971727,2
460030196973113,9
460030196973332,3
460030196973412,7
460030196974942,0
